2018-06-12 06:58:46 status half-installed flashplugin-installer:amd64 29.0.0.171ubuntu0.16.04.1
2018-06-12 06:58:46 status unpacked flashplugin-installer:amd64 30.0.0.113ubuntu0.16.04.1
2018-06-12 06:58:46 status unpacked flashplugin-installer:amd64 30.0.0.113ubuntu0.16.04.1
2018-06-12 06:58:47 install linux-image-4.4.0-128-generic:amd64 <none> 4.4.0-128.154
2018-06-12 06:58:47 status half-installed linux-image-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:58:50 status unpacked linux-image-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:58:50 status unpacked linux-image-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:58:50 install linux-image-extra-4.4.0-128-generic:amd64 <none> 4.4.0-128.154
2018-06-12 06:58:50 status half-installed linux-image-extra-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:58:55 status unpacked linux-image-extra-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:58:55 status unpacked linux-image-extra-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:58:56 upgrade linux-generic:amd64 4.4.0.127.133 4.4.0.128.134
2018-06-12 06:58:56 status half-configured linux-generic:amd64 4.4.0.127.133
2018-06-12 06:58:56 status unpacked linux-generic:amd64 4.4.0.127.133
2018-06-12 06:58:56 status half-installed linux-generic:amd64 4.4.0.127.133
2018-06-12 06:58:56 status half-installed linux-generic:amd64 4.4.0.127.133
2018-06-12 06:58:56 status unpacked linux-generic:amd64 4.4.0.128.134
2018-06-12 06:58:56 status unpacked linux-generic:amd64 4.4.0.128.134
2018-06-12 06:58:57 upgrade linux-image-generic:amd64 4.4.0.127.133 4.4.0.128.134
2018-06-12 06:58:57 status half-configured linux-image-generic:amd64 4.4.0.127.133
2018-06-12 06:58:57 status unpacked linux-image-generic:amd64 4.4.0.127.133
2018-06-12 06:58:57 status half-installed linux-image-generic:amd64 4.4.0.127.133
2018-06-12 06:58:57 status half-installed linux-image-generic:amd64 4.4.0.127.133
2018-06-12 06:58:57 status unpacked linux-image-generic:amd64 4.4.0.128.134
2018-06-12 06:58:57 status unpacked linux-image-generic:amd64 4.4.0.128.134
2018-06-12 06:58:57 install linux-headers-4.4.0-128:all <none> 4.4.0-128.154
2018-06-12 06:58:57 status half-installed linux-headers-4.4.0-128:all 4.4.0-128.154
2018-06-12 06:59:04 status unpacked linux-headers-4.4.0-128:all 4.4.0-128.154
2018-06-12 06:59:04 status unpacked linux-headers-4.4.0-128:all 4.4.0-128.154
2018-06-12 06:59:05 install linux-headers-4.4.0-128-generic:amd64 <none> 4.4.0-128.154
2018-06-12 06:59:05 status half-installed linux-headers-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:59:06 status unpacked linux-headers-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:59:06 status unpacked linux-headers-4.4.0-128-generic:amd64 4.4.0-128.154
2018-06-12 06:59:07 upgrade linux-headers-generic:amd64 4.4.0.127.133 4.4.0.128.134
2018-06-12 06:59:07 status half-configured linux-headers-generic:amd64 4.4.0.127.133
2018-06-12 06:59:07 status unpacked linux-headers-generic:amd64 4.4.0.127.133
2018-06-12 06:59:07 status half-installed linux-headers-generic:amd64 4.4.0.127.133
2018-06-12 06:59:07 status half-installed linux-headers-generic:amd64 4.4.0.127.133
2018-06-12 06:59:07 status unpacked linux-headers-generic:amd64 4.4.0.128.134
2018-06-12 06:59:07 status unpacked linux-headers-generic:amd64 4.4.0.128.134
2018-06-12 06:59:07 upgrade linux-libc-dev:amd64 4.4.0-127.153 4.4.0-128.154
2018-06-12 06:59:07 status half-configured linux-libc-dev:amd64 4.4.0-127.153
2018-06-12 06:59:07 status unpacked linux-libc-dev:amd64 4.4.0-127.153
2018-06-12 06:59:08 status half-installed linux-libc-dev:amd64 4.4.0-127.153
2018-06-12 06:59:08 status half-installed linux-libc-dev:amd64 4.4.0-127.153
2018-06-12 06:59:08 status unpacked linux-libc-dev:amd64 4.4.0-128.154
2018-06-12 06:59:08 status unpacked linux-libc-dev:amd64 4.4.0-128.154
2018-06-12 06:59:08 upgrade linux-tools-common:all 4.4.0-127.153 4.4.0-128.154
2018-06-12 06:59:08 status half-configured linux-tools-common:all 4.4.0-127.153
2018-06-12 06:59:09 status unpacked linux-tools-common:all 4.4.0-127.153
